T-R1.1.1	Development of reporting template for baselining the current provision of forecasts	4		0	WP-R1	UoL	
T-R1.1.2	Documentations of governance and institutional arrangements for NMSs	14		0	WP-R1	KNUST	
T-R1.1.3a	Completion of 1.1.1 reporting templates for Ghana	7		0	WP-R1	KNUST	
T-R1.1.3b	Completion of 1.1.1 reporting templates for Kenya	7		0	WP-R1	KMD	
T-R1.1.3c	Completion of 1.1.1 reporting templates for Nigeria	7		0	WP-R1	NiMet	
T-R1.1.3d	Completion of 1.1.1 reporting templates for Senegal	7		0	WP-R1	ANACIM	
T-R1.1.4	Draft paper reviewing exisiting literature (peer review and grey literature) on user needs for weather and climate information in West Africa and East Africa	9		0	WP-R1	UoL	ERL
T-R1.2.1	Completion of standard protocols for user surveys and interviews	23		0	WP-R1	ACMAD	
T-R1.2.2a	Workshops bringing together NMS and user representatives in each partner country (Ghana)	14		0	WP-R1	KNUST	
T-R1.2.2b	Workshops bringing together NMS and user representatives in each partner country (Kenya)	14		0	WP-R1	KMD	
T-R1.2.2c	Workshops bringing together NMS and user representatives in each partner country (Nigeria)	17		0	WP-R1	NiMet	
T-R1.2.2d	Workshops bringing together NMS and user representatives in each partner country (Senegal)	17		0	WP-R1	ANACIM	
T-R1.2.3a	Pilotting user interviews and surveys in partner countries and identifying country strategy for conducting survey and interview strategy: Phase 1  (Ghana)	15		0	WP-R1	KNUST	
T-R1.2.3b	Pilotting user interviews and surveys in partner countries and identifying countryfor conducting survey and interview strategy: Phase 1  (Senegal)	15		0	WP-R1	CEH	
T-R1.2.4a	Pilotting user interviews and surveys in partner countries and identifying country strategy for conducting survey and interview: Phase 2  (Kenya)	17		0	WP-R1	UoN	
T-R1.2.4b	Pilotting user interviews and surveys in partner countries and identifying country strategy for conducting survey and interview: Phase 2  (Nigeria)	17		0	WP-R1	NiMet	
T-R1.2.5a	Completion of user interviews and surveys: Phase 1 (Ghana)	27		0	WP-R1	ACMAD	
T-R1.2.5b	Completion of user interviews and surveys: Phase 1 (Senegal)	24		0	WP-R1	ACMAD	
T-R1.2.6a	Completion of user interviews and surveys interviews: Phase 2 (Kenya)	27		0	WP-R1	ACMAD	
T-R1.2.6b	Completion of user interviews and surveys interviews: Phase 2 (Nigeria)	27		0	WP-R1	ACMAD	
T-R1.2.7	Draft paper reporting on the findings of 1.2.5a, 1.2.5b, 1.2.6a and 1.2.6b.	26		0	WP-R1	ACMAD	
T-R1.3.1	Table collating evidenced based recommendations for good practice in  forecast communication acquired through Tasks 1.1 and 1.2, and through continued review of the peer review and grey literature.	31		0	WP-R1	UoL	
T-R1.3.2	Case study examining measureable impact? (e.g. meningitis warnings, fishing fines, crop insurance etc?)	41		0	WP-R1	UoL	
T-R2.1.1	Archive strategy for radar data	19		0	WP-R2	ANACIM	
T-R2.1.2	Identify storm characteristics in dense rain gauge network and satellite data	20		0	WP-R2	KNUST	KNUST paper1 (sondes vs AIRS)
T-R2.1.3	Review of microwave forward simulators	23		0	WP-R2	UoR	
T-R2.1.5	Develop storm statistics tools for use with satellite data	27		0	WP-R2	UoR	UoR (Stein) paper on storm tracking algorithm; UoR (Hill) paper on model evaluation of tracked storm characteristics
T-R2.3.1	Select case studies suitable for ensembles evaluation (WP-R7)	33		0	WP-R2	ACMAD	
T-R2.3.2	Characterise uncertainty in verification statistics	36		0	WP-R2	UoR	UoR/UoL/UKMO paper on CPE use in Testbed; UoR-led paper on CPE verification statistics
T-R2.3.3	Selection of uniform set of verification metrics for deterministic CP models.	24		0	WP-R2	FUTA	FUTA paper on multi-metric score
T-R2.3.4	Coordination of analysis of Case Study A (East Africa, MAM 2018/2019)	48		0	WP-R2	UoN	ICPAC planned paper on case study analysis on S2S scales
T-R2.3.5	Coordination of analysis of Case Study B (West Africa, 18-29 August 2017)	48		0	WP-R2	ACMAD	
T-R2.3.6	Coordination of analysis of Case Study C (West Africa, 26-29 June 2018)	48		0	WP-R2	GMet	GMet-led case study description paper
T-R2.3.7	Report on sensitivity of CP models to land surface initialisation.	48		0	WP-R2	CEH	Paper on soil moisture availability impact on evapotranspiration
