2018-02-13	D-M1.24	not recorded	"Started November 2018 - ongoing. Doug Parker and Lorriane Youds have visted Dakar, Senegal and Nairobi, Kenya. Visit to Accra and Kumasi, Ghana completed in September 2018.
Due to a reduction in travel commitments, Doug will not go to Nigeria in Spring 2019, but Lorraine plans to go, to coincide with the Users meeting."	75	not recorded	not recorded
2018-02-13	D-R5.3	not recorded	30% complete approximately	30	not recorded	not recorded
2018-02-13	D-R5.4	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	D-R5.5	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	D-R5.6	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	D-R6.1	not recorded	Benchmarking of knowledge of sub-seasonal drivers continues and research has begin on the role of MJO, AEJ and TEJ on W African Monsoon Onset.	5	not recorded	not recorded
2018-02-13	D-R3.8	not recorded	This work (characterising land persistence in response to rain from EO) won't start till April 2020	0	not recorded	not recorded
2018-02-13	D-R6.3	not recorded	Initial analysis of forecast skill underway	0	not recorded	not recorded
2018-02-13	D-R6.4	not recorded	Not started	0	not recorded	not recorded
2018-02-13	D-R6.5	not recorded	Benchmarking survey's of current operational practice analysed and benchmarking report in preparation	0	not recorded	not recorded
2018-02-13	D-R6.6	not recorded	Preparation fo training materials awaiting decsions on oveally content of summer school	0	not recorded	not recorded
2018-02-13	D-R6.7	not recorded	Not started	0	not recorded	not recorded
2018-02-13	D-R6.8	not recorded	Planning for the testbed has begun: The format of fortnightly telecons has been agreed. 	0	not recorded	not recorded
2018-02-13	D-R7.1	not recorded	Delayed due to delay in PDRA recruitment. This task will be assigned to WP-R7 convective ensembles PDRA Beth Woodhams, who starts in April 2019. It will be the first task she performs. New deadline May 2019.	0	not recorded	not recorded
2018-02-13	D-R7.2	not recorded	5% complete. At the last WP-R7 meeting the strategy for selecting case study dates was discussed. Partners from across the WPs have suggested interesting case studies. Stu Webster has run one test simulation (as of 17/08/2018). Sam Clarke, who starts 20th Aug. 2018 will analyse that simulation to check everything is working ok, then we will start running further simulations. Deadlines on track.	5	not recorded	not recorded
2018-02-13	D-R7.3	not recorded	Beth Woodhams will complete this task when she starts in April 2019. Deadline on track.	0	not recorded	not recorded
2018-02-13	D-R7.4	not recorded	Will be jointly completed by WP-R5 and R7 PDRAs (Woodhams and Clarke, starting Apr 2019 and Aug 2018 respectively). Deadline on track.	100	not recorded	not recorded
2018-02-13	D-C2.2	not recorded	Planned for April 2019	0	not recorded	not recorded
2018-02-13	D-R5.2	not recorded	30% complete approximately	30	not recorded	not recorded
