2018-02-13	T-C1.5.1	not recorded	"2019 Summer School to be held at KNUST.
 Training for T-1 was held in Togo, Nov 2018. Contribution also made to SWFDP training in Nairobi, Jan 2019.
"	100	not recorded	not recorded
2018-02-13	T-R3.7.5	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.7.4	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.7.3	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R2.4.2	not recorded	This work will not begin until April 2020	0	not recorded	not recorded
2018-02-13	T-R3.5.4	not recorded	some case studies have been documented at KMD 	30	not recorded	not recorded
2018-02-13	T-R2.6.3	not recorded	Not yet begun. NB. Similar task is underway for preparation of Summer School.	0	not recorded	not recorded
2018-02-13	T-R2.5.2	not recorded	0% complete. PDRA (Peter Hill) started in December 2018. Task relies on documenting of forward simulators.	0	not recorded	not recorded
2018-02-13	T-R2.3.2	not recorded	0% complete. PDRA (Carlo Cafaro) started in January 2019.	0	not recorded	not recorded
2018-02-13	T-R3.5.7	not recorded	10% complete. PDRA (Peter Hill) has applied offline storm tracking tool on SEVIRI data. 	10	not recorded	not recorded
2018-02-13	T-R2.1.4	not recorded	0% complete. PDRA (Carlo Cafaro) started in January 2019.	0	not recorded	not recorded
2018-02-13	T-R3.7.1	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.6.4	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.6.3b	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.6.3a	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.6.2	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.6.1	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.5.6	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.5.5	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.5.3	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R3.7.6	not recorded	Not yet started	0	not recorded	not recorded
2018-02-13	T-R4.1.1	not recorded	 70% complete by middle of Sept 18. A survey is being sent out on 17 August 18 with a due date a week or so later. The report will be written shortly thereafter. It has already been established that none of the African partners are using the EUMETSAT nowcasting system for forecasts.	70	not recorded	not recorded
